N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
5,d4,d2d4,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
6,cxd4,c5d4,r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
7,Nxd4,f3d4,r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
8,Nf6,g8f6,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
9,Nc3,b1c3,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
10,e5,e7e5,r1bqkb1r/pp1p1ppp/2n2n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,"This is the well-known Sveshnikov Variation which I like to play. My overall score is not good, but I still like the complications"
11,Ndb5,d4b5,r1bqkb1r/pp1p1ppp/2n2n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 6,Otherwise 7. Nd6+ leads to less favorable variations
