N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
5,d4,d2d4,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
6,cxd4,c5d4,r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
7,Nxd4,f3d4,r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
8,Nf6,g8f6,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
9,Nc3,b1c3,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
10,e5,e7e5,r1bqkb1r/pp1p1ppp/2n2n2/4p3/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
11,Ndb5,d4b5,r1bqkb1r/pp1p1ppp/2n2n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 6,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
12,d6,d7d6,r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 7,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
13,a4,a2a4,r1bqkb1r/pp3ppp/2np1n2/1N2p3/P3P3/2N5/1PP2PPP/R1BQKB1R b KQkq - 0 7,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
14,a6,a7a6,r1bqkb1r/1p3ppp/p1np1n2/1N2p3/P3P3/2N5/1PP2PPP/R1BQKB1R w KQkq - 0 8,Alternative variation: 33... Kf5 34. Qh5  Ke6 =
